مقترح فئات الموردين,,,,,,
,,,,,,
,,,,,,
,,,,,,
ملخص,الفئة الرئيسية,,البنود التفصيلية,,التعريف,Definition
,,,المعدات التقنية والاستوديوهات,Technical Equipment & Studios,توفير معدات تقنية متقدمة واستوديوهات مجهزة لإنتاج محتوى صوتي ومرئي احترافي.,Advanced technical equipment and fully-equipped studios for professional audio and visual production.
,,,خدمات البث والتغطية المباشرة,Live Broadcasting & Coverage,خدمات البث المباشر والتغطية الإعلامية الفورية للفعاليات عبر مختلف القنوات والمنصات.,Live broadcasting and real-time media coverage services across various channels and platforms.
,,,تأجير عربات البث الخارجي والبث المباشر,OB Vans & Live Broadcasting Rental,تأجير عربات البث الخارجي المتنقلة المجهزة لنقل الفعاليات مباشرة بجودة احترافية.,Renting mobile outside broadcast vans equipped to transmit events live with professional quality.
,,,إنتاج البرامج التلفزيونية والفيديوهات الدعائية,TV Programs & Promotional Videos Production,إنتاج برامج تلفزيونية وفيديوهات دعائية وترويجية متكاملة بمعايير البث الاحترافي.,Producing integrated TV programs and promotional videos to professional broadcasting standards.
,,,الموشن جرافيك والمونتاج وتصحيح الألوان,"Motion Graphics, Editing & Color Grading",خدمات الموشن جرافيك والمونتاج وتصحيح الألوان لإخراج محتوى مرئي بجودة سينمائية.,"Motion graphics, editing, and color grading services for cinematic-quality visual content."
,,,الحملات الإعلامية وتقنيات البث,Media Campaigns & Broadcast Technology,تنفيذ حملات إعلامية متكاملة باستخدام أحدث تقنيات البث والتوزيع للوصول لشرائح واسعة.,Executing integrated media campaigns using the latest broadcasting and distribution technologies to reach wide audiences.
,,,خدمات الموشن جرافيك,Motion Graphics Services,إنتاج رسوم متحركة وعناصر بصرية إبداعية لإيصال الرسائل والأفكار بشكل مرئي جذاب.,Producing animated graphics and creative visual elements to deliver messages and ideas in an engaging visual format.
,,,التوثيق وإعداد التقارير الإعلامية,Media Documentation & Reporting,توثيق الفعاليات وإعداد التقارير الإعلامية والمرئية الموثقة لأرشفة المحتوى ومشاركته.,Documenting events and preparing media and visual reports for content archiving and sharing.
,التسويق والعلاقات العامة,Marketing & PR,المؤثرون,Influencers,التعاون مع المؤثرين والشخصيات الرقمية للترويج للفعاليات والوصول إلى جمهور واسع.,Collaborating with influencers and digital personalities to promote events and reach a wide audience.
,,,شراء المساحات الإعلانية والإعلامية,Media Buying,شراء وحجز المساحات الإعلانية في وسائل الإعلام التقليدية والرقمية لنشر رسائل الحملات.,Purchasing and reserving advertising spaces across traditional and digital media outlets for campaign messaging.
,,,الخطط التسويقية,Marketing Plans,تطوير وتنفيذ خطط تسويقية شاملة تحدد الأهداف والجمهور والقنوات المناسبة للترويج.,"Comprehensive marketing plans defining objectives, target audience, and suitable promotion channels."
,,,الحملات الإعلانية,Advertising Campaigns,تصميم وتنفيذ حملات إعلانية متكاملة عبر قنوات متعددة لتعزيز الوعي بالفعاليات.,Designing and executing integrated advertising campaigns across multiple channels to boost event awareness.
,,,استقبال الوفود والمؤتمرات الصحفية,Delegation Receptions & Press Conferences,تنظيم استقبال الوفود الرسمية وعقد المؤتمرات الصحفية بمعايير البروتوكول الاحترافية.,Organizing official delegation receptions and press conferences according to professional protocol standards.
,,,الاستضافات,Hosting Services,تنظيم استضافات كبار الشخصيات والضيوف وتقديم تجربة احترافية تليق بمستوى الفعاليات.,"Organizing VIP and guest hosting, delivering a professional experience befitting event standards."
,المطبوعات وتطبيقات الهوية,Advertising (Prints & Identity Applications),البنرات,Banners,تصميم وطباعة بنرات إعلانية بمختلف الأحجام للاستخدام في الديكور الداخلي والخارجي.,Designing and printing advertising banners of various sizes for indoor and outdoor decoration.
,,,الستيكرات,Stickers,إنتاج ملصقات لاصقة بهوية الفعاليات للاستخدام على الأسطح والمعدات والهدايا التذكارية.,"Producing branded stickers with event identity for use on surfaces, equipment, and souvenirs."
,,,خدمات تخصيص المنتجات والهدايا,Product & Gift Customization Services,تخصيص المنتجات والهدايا التذكارية بهوية الفعاليات لإهدائها للضيوف والمشاركين.,Customizing products and souvenirs with event identity to be gifted to guests and participants.
,,,خدمات الطباعة,Printing Services,تنفيذ أعمال الطباعة الرقمية والتقليدية لجميع المواد التسويقية والتشغيلية للفعاليات.,Digital and traditional printing for all marketing and operational materials of events.
,,,تطبيقات الهوية,Brand Identity Applications,تطبيق عناصر الهوية البصرية للفعاليات على جميع المواد والأسطح والمنشآت الخاصة بها.,"Applying visual identity elements across all event materials, surfaces, and structures."
,,,الأعلام,Flags,تصنيع وتركيب الأعلام بمختلف المقاسات وفق هوية الفعاليات للاستخدام داخلياً وخارجياً.,Manufacturing and installing flags of various sizes per event identity for indoor and outdoor use.
,الصوتيات والمرئيات والإضاءة,AVL,خدمات الإضاءة,Lighting Services,توفير حلول الإضاءة التقنية والمسرحية لإبراز المحتوى وخلق أجواء بصرية مناسبة.,Technical and stage lighting solutions to highlight content and create appropriate visual atmospheres.
,,,خدمات الفيديو,Video Services,تقديم خدمات الفيديو الاحترافية بما فيها الشاشات العرضية ومعدات التشغيل لعرض المحتوى المرئي.,Professional video services including display screens and playback equipment for visual content presentation.
,,,خدمات الصوت,Sound Services,توفير أنظمة الصوت الاحترافية الشاملة لضمان جودة صوت عالية في جميع أنحاء مواقع الفعاليات.,Comprehensive professional sound systems ensuring high audio quality throughout event venues.
,,,تأجير معدات الصوتيات والمرئيات,Audio-Visual Equipment Rental,"تأجير معدات الصوت والمرئيات الكاملة (مكبرات، ميكروفونات، بروجكتورات، شاشات LED) لتجهيز الفعاليات.","Renting complete audio-visual equipment (speakers, microphones, projectors, LED screens) for event setup."
,,,تجهيزات الإضاءة الزخرفية والتراسات,Decorative Lighting & Trusses,توفير وتركيب تجهيزات الإضاءة الزخرفية والتراسات لإضفاء طابع جمالي على مواقع الفعاليات.,Providing and installing decorative lighting setups and trusses to add an aesthetic dimension to event venues.
,الأثاث,Furniture,الأثاث وإكسسوارات الفعاليات,Event Furniture & Accessories,توفير الأثاث وإكسسوارات الفعاليات بما يشمل المقاعد والطاولات وعناصر الديكور المتخصصة.,"Event furniture and accessories including seating, tables, and specialized decorative elements."
,,,المدرجات والكنب,Stands & Couches,تأجير وتركيب المدرجات والكنب لتجهيز مناطق الجلوس وقاعات الضيوف في الفعاليات.,Renting and installing stands and couches to furnish seating areas and guest lounges at events.
,,,الورود,Floral Arrangements,توفير تنسيقات الورود الطبيعية والصناعية لتزيين مواقع الفعاليات ومناطق الاستقبال.,Natural and artificial floral arrangements to decorate event venues and reception areas.
,,,النباتات الداخلية,Indoor Plants,توفير وتركيب النباتات الداخلية بأنواعها لإضافة لمسة طبيعية وجمالية على أجواء الفعاليات.,Providing and installing various indoor plants to add a natural and aesthetic touch to event atmospheres.
,الخدمات اللوجستية,Logistic,الحجوزات الفندقية,Hotel Bookings,حجز الإقامة الفندقية للضيوف والمشاركين والوفود وفق المستوى المناسب لكل فئة.,"Hotel accommodation bookings for guests, participants, and delegations at appropriate levels for each group."
,,,خدمات النقل,Transportation Services,نقل المعدات والمواد بين المخازن ومواقع الفعاليات بأمان وفي الأوقات المحددة.,Transporting equipment and materials between warehouses and event venues safely and on schedule.
,,,السيارات,Vehicles,توفير سيارات النقل والتنقل للضيوف والمشاركين خلال أيام الفعاليات.,Transportation vehicles for guests and participants during event days.
,,,غرف التحكم,Control Rooms,تجهيز غرف تحكم متكاملة لإدارة عمليات الصوت والإضاءة والبث في مكان واحد.,"Integrated control rooms to manage sound, lighting, and broadcasting operations from a single location."
,,,خدمات الأمن الصناعي,Industrial Security Services,تقديم خدمات الأمن الصناعي المتخصص لحماية المعدات والمواقع الحساسة في الفعاليات.,Specialized industrial security services to protect sensitive equipment and locations at events.
,,,المواصلات الجماعية,Mass Transportation,تقديم خدمات المواصلات الجماعية لنقل الموظفين والمشاركين من وإلى المواقع.,Mass transportation services to move staff and participants to and from venues.
,,,تنظيم المواقف,Parking Management,تنظيم المواقف وضمان السلامة المرورية وأمن مركبات الضيوف والمشاركين في الفعاليات.,Parking lot management and ensuring traffic safety and vehicle security for guests and participants.
,,,حجوزات السفر والتنقل,Travel & Transit Bookings,"إدارة حجوزات السفر والتنقل (طيران، قطار، إلخ) للضيوف والوفود المشاركة في الفعاليات.","Managing travel and transit bookings (flights, trains, etc.) for guests and delegations attending events."
,خدمات الموقع,Site Services,دورات المياه المتنقلة,Portable Toilets,توفير وحدات دورات المياه المتنقلة المجهزة بمعايير النظافة لخدمة المواقع.,Portable toilet units equipped to hygienic standards to serve event venues.
,,,مولدات الكهرباء,Generators,توفير مولدات كهرباء بقدرات مختلفة لتأمين مصدر طاقة مستقر وموثوق طوال الفعاليات.,Generators of varying capacities to ensure a stable and reliable power source throughout events.
,,,المكاتب المتنقلة,Mobile Offices,تأجير مكاتب متنقلة مجهزة لاستخدامها كمراكز إدارية وتشغيلية في مواقع الفعاليات.,Renting equipped mobile offices to serve as administrative and operational centers at event venues.
,,,الخيام,Tents,توفير وتركيب الخيام بمختلف الأحجام والتصاميم لإقامة الفعاليات الخارجية.,Providing and installing tents of various sizes and designs for outdoor events.
,,,الحواجز,Barriers,توفير الحواجز الأمنية والتنظيمية لتحديد المسارات وحماية مناطق الفعاليات.,Security and crowd-control barriers to define pathways and protect event zones.
,,,الفواصل,Bumpers,تركيب الفواصل لتقسيم مناطق الفعاليات وتنظيم حركة الجمهور بأسلوب آمن.,Bumpers to divide event areas and organize audience flow safely.
,,,أعمال التكييف,Air-Conditioning Works,تنفيذ أعمال التكييف وتوفير حلول التبريد المناسبة لضمان راحة الحضور في الفعاليات.,Air-conditioning works and suitable cooling solutions to ensure attendee comfort at events.
,أعمال التجهيز والتشطيب,Fit-Out Works,أعمال النجارة والأخشاب,Carpentry & Woodworks,تنفيذ أعمال النجارة والأعمال الخشبية بمختلف أنواعها لتجهيز ديكورات وعناصر الفعاليات.,Carpentry and woodwork of all types to set up event decor and structural elements.
,,,أعمال الدهانات,Painting Works,تنفيذ أعمال الدهانات والطلاء على الأسطح والديكورات والهياكل الخاصة بالفعاليات.,"Painting works on surfaces, decorations, and structures used in events."
,,,أعمال الجبس,Gypsum Works,تنفيذ أعمال الجبس والتشكيلات الزخرفية للأسقف والجدران في ديكورات الفعاليات.,Gypsum works and decorative ceiling and wall formations in event decor.
,,,التمديدات الكهربائية البسيطة,Light Electrical Works,تنفيذ تمديدات كهربائية بسيطة لتغذية معدات الإضاءة والصوت في مواقع الفعاليات.,Light electrical wiring to power lighting and sound equipment at event venues.
,,,التمديدات الصحية البسيطة,Light Plumbing Works,تنفيذ تمديدات سباكة بسيطة لتوفير المياه والصرف للوحدات والخدمات في الفعاليات.,Light plumbing works to supply water and drainage for units and services at events.
,,,السجاد,Carpets,توريد وتركيب السجاد بمختلف الأنواع والألوان لتغطية الأرضيات وتجميل مواقع الفعاليات.,Supplying and installing carpets of various types and colors to cover floors and beautify event venues.
,,,تركيبات الميلامين,Melamine Installations,تركيب ألواح الميلامين لتجهيز الجدران والكاونترات والديكورات الخاصة بالفعاليات.,"Installing melamine panels for walls, counters, and decorative elements at events."
,الإنشاءات,Construction,الإنشاءات المدنية (الميكانيكا والكهرباء والسباكة),Civil Construction (MEP),تنفيذ الأعمال الإنشائية المدنية المتكاملة بما يشمل الميكانيكا والكهرباء والسباكة.,"Integrated civil construction works including mechanical, electrical, and plumbing (MEP)."
,,,تنسيق المواقع والحدائق,Landscaping,تنفيذ أعمال تنسيق المواقع والحدائق لإضفاء لمسة طبيعية وجمالية على محيط الفعاليات.,Site landscaping and garden works to add a natural and aesthetic touch to event surroundings.
,,,صيانة المرافق,Facilities Maintenance,تقديم خدمات الصيانة الدورية للمرافق والبنية التحتية لضمان جاهزيتها التشغيلية.,Periodic maintenance services for facilities and infrastructure to ensure operational readiness.
,,,السقالات والهياكل الحديدية,Scaffolding & Steel Structures,توريد وتركيب السقالات والهياكل الحديدية اللازمة لأعمال الارتفاعات والإنشاءات المؤقتة.,Supplying and installing scaffolding and steel structures for high-level work and temporary constructions.
,,,أعمال التبليط,Tiling Works,تنفيذ أعمال التبليط والأرضيات بمختلف المواد لإكمال البنية التحتية لمواقع الفعاليات.,Tiling and flooring works with various materials to complete event venue infrastructure.
,الضيافة,Hospatility,الأطعمة والمشروبات,Food & Beverages,"توفير الأطعمة والمشروبات بمختلف أنواعها (وجبات، بوفيهات، سناك، مشروبات ساخنة وباردة، قهوة).","Food and beverages of all types (meals, buffets, snacks, hot and cold drinks, coffee)."
,,,مستلزمات الضيافة,Hospitality Consumables,توفير مستلزمات الضيافة من أكواب وأطباق وأدوات تقديم وعبوات للاستخدام خلال الفعاليات.,"Hospitality consumables including cups, plates, serving utensils, and containers for event use."
,,,تجهيزات تقديم الطعام والشراب,Food & Beverage Service Equipment,"توفير تجهيزات تقديم الطعام والشراب (معدات التقديم، سخانات، حافظات، ماكينات قهوة) لتشغيل خدمات الضيافة.","Food and beverage service equipment (serving gear, warmers, dispensers, coffee machines) to operate hospitality services."
,القوى العاملة,Workforce,العمالة الحرفية والتنفيذية,Skilled & Manual Labor,"توفير العمالة الحرفية والتنفيذية (نجارين، حدادين، دهانين، عمال تركيب وفك، نظافة، كهرباء، سباكة، أرضيات، سائقين، ضيافة).","Skilled and manual labor (carpenters, metalworkers, painters, installers, cleaners, electricians, plumbers, flooring workers, drivers, hospitality staff)."
,,,الفنيون والمهندسون,Technicians & Engineers,"توفير الفنيين والمهندسين المتخصصين في AVL (إضاءة، صوت، شاشات) والميديا (بث مباشر، كاميرات).","Specialized technicians and engineers in AVL (lighting, sound, screens) and media (live broadcasting, cameras)."
,,,الفنانون الإبداعيون,Creative Artists,"توفير الفنانين الإبداعيين (تشكيليين، نحاتين، رسامين، مغنين، منشدين، مقدمين) لإثراء البرامج الفنية للفعاليات.","Creative artists (visual artists, sculptors, painters, singers, vocal performers, presenters) to enrich event artistic programs."
,,,كوادر إدارة وتشغيل الفعاليات,Event Management & Operations Personnel,"توفير كوادر إدارة وتشغيل الفعاليات (مديري مشاريع، مشرفي مواقع، محاسبين، مسؤولي مشتريات، إداريين).","Event management and operations personnel (project managers, site supervisors, accountants, procurement officers, administrative staff)."
,,,كوادر إدارة الحشود والسلامة,Crowd Management & Safety Personnel,"توفير كوادر إدارة الحشود والسلامة (أمن، منظمين لإدارة الحشود والبروتوكول، مسعفين).","Crowd management and safety personnel (security, ushers for crowd control and protocol, paramedics)."
,,,موظفو الشركة,Company Staff,توفير موظفي الشركة المختصين لإدارة الفعاليات والإشراف على تنفيذ مهام التشغيل.,Company's specialized staff to manage events and oversee execution of operational tasks.
